"","C3NET","ARACNE","mrnet","mrnetB","GENIE3","GeCoNet","Corto"
"G219-G1903",0,0,0,0,1,0,0
"G66-G1905",0,0,0,0,1,1,1
"G120-G1954",0,0,0,0,1,0,1
"G244-G1969",0,0,0,0,1,0,0
"G120-G2008",0,0,0,0,1,0,1
"G110-G2074",0,0,0,0,1,0,0
"G219-G2074",0,0,0,0,1,1,0
"G11-G2313",0,0,0,0,1,0,0
"G188-G2314",0,0,0,0,1,1,0
"G66-G2316",0,0,0,0,1,0,1
"G73-G2325",0,0,0,0,1,0,0
"G110-G2327",0,0,0,0,1,1,0
"G219-G2327",0,0,0,0,1,1,0
"G260-G2330",0,0,0,0,1,0,1
"G110-G2450",0,0,0,0,1,0,0
"G219-G2450",0,0,0,0,1,0,0
"G11-G2592",0,0,0,0,1,0,1
"G2-G2626",0,0,0,0,1,0,1
"G120-G2657",0,0,0,0,1,1,1
"G254-G2668",0,0,0,0,1,0,0
"G259-G2668",0,0,0,0,1,1,1
"G254-G2709",0,0,0,0,1,1,0
"G110-G2723",0,0,0,0,1,0,0
"G219-G2723",0,0,0,0,1,1,0
"G19-G2737",0,0,0,0,1,0,1
"G89-G2737",0,0,0,0,1,0,1
"G110-G2808",0,0,0,0,1,1,0
"G188-G2821",0,0,0,0,1,1,0
"G254-G2821",0,0,0,0,1,1,0
"G110-G2837",0,0,0,0,1,0,0
"G219-G2837",0,0,0,0,1,1,0
"G73-G2884",0,0,0,0,1,0,1
"G188-G2929",0,0,0,0,1,0,0
"G11-G2961",0,0,0,0,1,0,1
"G4-G3044",0,0,0,0,1,1,1
"G110-G3058",0,0,0,0,1,0,0
"G219-G3058",0,0,0,0,1,1,0
"G219-G3161",0,0,0,0,1,0,0
"G188-G3162",0,0,0,0,1,1,0
"G110-G3252",0,0,0,0,1,0,0
"G219-G3252",0,0,0,0,1,1,0
"G244-G3484",0,0,0,0,1,0,1
"G110-G3679",0,0,0,0,1,0,0
"G219-G3679",0,0,0,0,1,1,0
"G73-G3800",0,0,0,0,1,0,0
"G244-G3813",0,0,0,0,1,0,1
"G145-G3828",0,0,0,0,1,0,1
"G199-G3894",0,0,0,0,1,0,1
"G244-G4019",0,0,0,0,1,0,1
"G199-G4040",0,0,0,0,1,0,1
"G110-G4119",0,0,0,0,1,1,0
"G219-G4119",0,0,0,0,1,1,0
"G4-G4157",0,0,0,0,1,1,1
"G188-G4271",0,0,0,0,1,1,0
"G254-G4271",0,0,0,0,1,1,0
"G120-G4276",0,0,0,0,1,0,1
"G188-G4312",0,0,0,0,1,1,0
"G254-G4312",0,0,0,0,1,1,0
"G110-G4351",0,0,0,0,1,1,0
"G219-G4351",0,0,0,0,1,1,0
"G73-G4404",0,0,0,0,1,0,1
"G69-G4411",0,0,0,0,1,0,1
"G199-G4488",0,0,0,0,1,0,1
"G334-G2021",0,0,0,0,0,1,1
"G188-G2668",0,0,0,0,0,1,0
"G23-G2844",0,0,0,0,0,1,0
"G284-G3423",0,0,0,0,0,1,1
"G244-G342",0,0,0,0,0,0,1
"G244-G593",0,0,0,0,0,0,1
"G282-G659",0,0,0,0,0,0,1
"G125-G665",0,0,0,0,0,0,1
"G2-G688",0,0,0,0,0,0,1
"G199-G947",0,0,0,0,0,0,1
"G69-G1323",0,0,0,0,0,0,1
"G101-G1538",0,0,0,0,0,0,1
"G73-G1554",0,0,0,0,0,0,1
"G86-G1703",0,0,0,0,0,0,1
"G23-G1965",0,0,0,0,0,0,1
"G125-G2014",0,0,0,0,0,0,1
"G145-G2031",0,0,0,0,0,0,1
"G55-G2238",0,0,0,0,0,0,1
"G55-G2375",0,0,0,0,0,0,1
"G282-G2404",0,0,0,0,0,0,1
"G145-G2423",0,0,0,0,0,0,1
"G145-G2515",0,0,0,0,0,0,1
"G3-G2605",0,0,0,0,0,0,1
"G23-G2682",0,0,0,0,0,0,1
"G116-G2799",0,0,0,0,0,0,1
"G55-G2819",0,0,0,0,0,0,1
"G25-G2822",0,0,0,0,0,0,1
"G145-G3031",0,0,0,0,0,0,1
"G86-G3262",0,0,0,0,0,0,1
"G150-G3345",0,0,0,0,0,0,1
"G315-G3356",0,0,0,0,0,0,1
"G244-G3371",0,0,0,0,0,0,1
"G73-G3373",0,0,0,0,0,0,1
"G69-G3459",0,0,0,0,0,0,1
"G69-G3466",0,0,0,0,0,0,1
"G55-G3519",0,0,0,0,0,0,1
"G285-G3870",0,0,0,0,0,0,1
"G61-G3955",0,0,0,0,0,0,1
"G3-G3990",0,0,0,0,0,0,1
"G303-G4098",0,0,0,0,0,0,1
"G199-G4143",0,0,0,0,0,0,1
"G260-G4145",0,0,0,0,0,0,1
"G145-G4168",0,0,0,0,0,0,1
"G55-G4303",0,0,0,0,0,0,1
