,Unnamed: 0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G0
G10,0.0,0.135830911,0.130076648,0.071236616,0.114190611,0.088046197,0.063900389,0.074257116,0.170685539,0.03205764,0.0,0.106169292,0.147689598,0.100621755,0.073403529,0.073403529,0.090600658,0.15897273,0.093156096,0.097851281,0.118254604,0.004939478,0.154681669,0.156499935,0.15924008,0.147890982,0.034054565,0.04510718,0.089403493,0.134892661,0.109102126,0.175674276,0.010028725,0.062504945,0.03870769,0.10456144,0.039943933,0.121047302,0.028302482,0.064582948,0.059389782,0.020518709,0.092856172,0.08225524,0.16865489,0.104828553,0.058668796,0.113630949,0.152984866,0.11791968,0.184553994,0.07948463,0.14813336,0.114687013,0.149665527,0.099988749,0.107493919,0.145508594,0.074574953,0.187535426,0.147437614,0.147336707,0.165161103,0.085352807,0.122765491,0.088906067,0.100756888,0.075120547,0.113834408,0.073203785,0.059222078,0.096090926,0.068188801,0.096394653,0.104514718,0.161464827,0.052848752,0.092284226,0.092398304,0.091272286,0.088067679,0.065000412,0.053620576,0.050559814,0.056434898,0.029650079,0.007373326,0.041982069,0.033883572,0.102180446,0.106424533,0.052092305,0.042301896,0.097528798,0.221795796,0.147063378,0.128031301,0.043564139,0.058160151,0.030480456,0.044980747,0.115612074
G11,0.0,0.104849718,0.098765891,0.100617974,0.116135312,0.086197066,0.041522586,0.07379362,0.091852938,0.119210902,0.106169292,0.0,0.175400223,0.165775474,0.044281609,0.044281609,0.086827352,0.11894763,0.106386685,0.103430577,0.082370738,0.023666844,0.10907477,0.057080743,0.080850055,0.10665964,0.11190637,0.058537394,0.054276078,0.060565823,0.037189004,0.07247271,0.018594869,0.044693414,0.033695519,0.084216751,0.05555967,0.035798038,0.108485844,0.131272282,0.044444393,0.049537563,0.064151386,0.034458316,0.077671958,0.057607076,0.088188416,0.066844564,0.0392766,0.088286263,0.112833152,0.044913761,0.048351031,0.064281267,0.066871992,0.072761217,0.04334958,0.097114681,0.146475428,0.08692701,0.074246024,0.032199172,0.101346672,0.035129826,0.06734584,0.069324979,0.018567033,0.041676263,0.021957575,0.059446054,0.019854412,0.043188063,0.017765905,0.045808609,0.035215245,0.023379007,0.07358078,0.04186133,0.032244266,0.068441261,0.022905449,0.094462645,0.01055939,0.084234665,0.075246636,0.090198926,0.091203504,0.116915815,0.125116095,0.043949837,0.071116437,0.061120444,0.043912047,0.037502729,0.061740277,0.040732431,0.038922627,0.041212723,0.048111812,0.054540351,0.035652214,0.071992021
G12,0.0,0.133665799,0.181647692,0.132509415,0.203363778,0.106021835,0.049856846,0.0966127,0.124962108,0.107892914,0.147689598,0.175400223,0.0,0.172276286,0.050782421,0.052066303,0.086361704,0.157359327,0.140400905,0.125910034,0.088241328,0.047650001,0.179222521,0.145465468,0.09617077,0.121150071,0.116920383,0.093624495,0.065801774,0.040270787,0.093328193,0.110914481,0.008744842,0.084270246,0.024857808,0.094480659,0.085167579,0.137144275,0.113259572,0.1251434,0.091296236,0.031590443,0.127028,0.057296418,0.084595684,0.143660792,0.097172869,0.105860058,0.125946186,0.146458253,0.10143496,0.148979629,0.113454336,0.119032017,0.121144234,0.093244078,0.099008733,0.099232876,0.128052234,0.087379997,0.074940171,0.0472964,0.108944832,0.100114978,0.117881034,0.0912185,0.145045077,0.167964496,0.091081697,0.101714788,0.025442889,0.114139698,0.014966755,0.083850013,0.060308873,0.075185574,0.057957179,0.020199237,0.072109571,0.094752893,0.028776038,0.113249899,0.032598196,0.164550803,0.104587008,0.124241777,0.113183185,0.177058694,0.155806325,0.06192751,0.093864523,0.059334084,0.097272495,0.143587946,0.118785804,0.096676383,0.070835047,0.120909882,0.118753042,0.074137007,0.051626672,0.108505774
G13,0.0,0.047267033,0.08967224,0.088114116,0.128424546,0.127086071,0.065294952,0.068482734,0.07957561,0.125019594,0.100621755,0.165775474,0.172276286,0.0,0.06131084,0.06131084,0.097971893,0.151260735,0.065692479,0.129603593,0.098434979,0.004305894,0.122534905,0.087273522,0.045599522,0.094812728,0.036871003,0.031142599,0.03871733,0.032291864,0.035407035,0.05940125,0.000410318,0.030475658,0.034345853,0.038588044,0.030262876,0.042894876,0.126007499,0.124008652,0.049123357,0.025040333,0.080956793,0.040184833,0.05057988,0.07015171,0.074832741,0.062733383,0.054851614,0.098038778,0.055459406,0.050937304,0.073580573,0.066836035,0.04120379,0.043708254,0.061821606,0.071780799,0.10090396,0.060107811,0.04740706,0.026149953,0.04570745,0.062758128,0.057033301,0.07524069,0.052659346,0.065942881,0.037718205,0.05827743,0.002095026,0.052988221,0.001667149,0.029451481,0.015815856,0.045529644,0.056513672,0.001667149,0.005225636,0.067514122,0.001243802,0.073982471,0.024690697,0.096663714,0.083716657,0.119781476,0.082135096,0.113325109,0.132343684,0.002095026,0.044211392,0.042004583,0.05025582,0.045145143,0.053168137,0.061369336,0.052901403,0.035693506,0.036038402,0.055459406,0.039199375,0.094476142
G14,0.0,0.040375634,0.055268259,0.070395756,0.074131203,0.068947375,0.06241695,0.062665019,0.0766988,0.003525729,0.073403529,0.044281609,0.050782421,0.06131084,0.0,0.061103577,0.066384333,0.067294076,0.023971411,0.064930132,0.03732068,0.025564834,0.058862624,0.048963208,0.013266826,0.016679858,0.037855619,0.015330804,0.021974967,0.016119761,0.016219986,0.036463319,0.000203054,0.015330804,0.003768168,0.019225679,0.021308908,0.020077285,0.022889934,0.015633168,0.032380994,0.04222712,0.019008271,0.02526222,0.025989894,0.021552332,0.041080816,0.022368463,0.029114708,0.022679243,0.021377731,0.021974967,0.025989894,0.065772959,0.020797817,0.046267342,0.027435164,0.032147983,0.02493606,0.018418472,0.016679858,0.004768428,0.027482626,0.042654256,0.016679858,0.023045507,0.030088099,0.020563823,0.030786647,0.021998008,0.001036539,0.007512624,0.000824888,0.002584335,0.007808947,0.021377731,0.031508929,0.000824888,0.002584335,0.006649121,0.000615455,0.018633016,0.016058686,0.02834677,0.015829904,0.018164134,0.053227107,0.066211911,0.02242121,0.001036539,0.014479484,0.034893558,0.015770453,0.025104487,0.030350546,0.022787938,0.018633016,0.025104487,0.028470516,0.020543861,0.017632599,0.046885462
G15,0.0,0.040375634,0.055268259,0.070395756,0.070658944,0.08439376,0.06241695,0.047994625,0.0766988,0.003525729,0.073403529,0.044281609,0.052066303,0.06131084,0.061103577,0.0,0.103039113,0.067294076,0.023971411,0.064930132,0.03732068,0.00212975,0.052344117,0.048963208,0.013266826,0.016679858,0.018126552,0.015330804,0.021974967,0.016119761,0.016219986,0.048849863,0.000203054,0.015330804,0.003768168,0.015770453,0.024118455,0.020077285,0.022889934,0.021377731,0.042395885,0.022162332,0.015330804,0.02526222,0.029584258,0.024560105,0.039774407,0.026745059,0.031377992,0.022679243,0.021974967,0.021974967,0.025989894,0.041024961,0.020234251,0.021747982,0.027435164,0.040368929,0.018633016,0.025989894,0.037140995,0.004768428,0.021390763,0.033698763,0.016679858,0.027700525,0.021548157,0.020563823,0.030786647,0.018633016,0.001036539,0.022894304,0.000824888,0.002584335,0.017010018,0.02264939,0.019422946,0.000824888,0.002584335,0.006649121,0.000615455,0.018633016,0.008725209,0.02834677,0.015829904,0.018164134,0.022590595,0.017713383,0.02242121,0.001036539,0.019945287,0.030996864,0.031216838,0.015770453,0.024319197,0.038619135,0.020327311,0.015770453,0.015770453,0.033277003,0.017632599,0.046885462
G16,0.0,0.037496363,0.084953656,0.099308045,0.077127811,0.080453187,0.060985454,0.056936628,0.107579044,0.067853195,0.090600658,0.086827352,0.086361704,0.097971893,0.066384333,0.103039113,0.0,0.080243747,0.079969891,0.106554681,0.073655069,0.002907879,0.12227971,0.133742559,0.085871808,0.06893795,0.04166069,0.066067227,0.06038725,0.082704516,0.04291455,0.108318093,0.015798277,0.075385353,0.021473803,0.023716271,0.038288909,0.022283185,0.06679228,0.045983502,0.028295862,0.021442345,0.094145758,0.044013631,0.108047543,0.043648677,0.117532968,0.060210816,0.093672122,0.113954391,0.159559812,0.063893931,0.061950096,0.087032593,0.103878831,0.095851794,0.097373763,0.091076869,0.081424841,0.103097043,0.094820421,0.057857266,0.103135345,0.051061914,0.082832536,0.096583988,0.114401267,0.014920887,0.110860476,0.140314395,0.042481922,0.065596469,0.025511353,0.050066817,0.076371624,0.088657765,0.025727107,0.049606778,0.016936515,0.025071081,0.040530093,0.071648955,0.024843013,0.033685102,0.053076783,0.042460778,0.06664426,0.089488432,0.039529375,0.0550343,0.07623755,0.056760734,0.079807873,0.081452228,0.132507167,0.049791331,0.09934421,0.053584119,0.070580201,0.065394917,0.021980153,-0.000549892
G17,0.0,0.044150289,0.083640065,0.170571044,0.16836569,0.091229305,0.085747538,0.081152317,0.08865913,0.097953043,0.15897273,0.11894763,0.157359327,0.151260735,0.067294076,0.067294076,0.080243747,0.0,0.118704878,0.089373794,0.084305122,0.011360782,0.106604701,0.082208207,0.075369359,0.110439096,0.068610319,0.085209885,0.082944308,0.048762345,0.027684875,0.126148208,0.036906109,0.077759679,0.049682573,0.06157735,0.054568475,0.045180676,0.112430373,0.114438301,0.022328366,0.020715372,0.12481698,0.04287247,0.063489136,0.114386203,0.083294884,0.099563615,0.091159632,0.101732442,0.18617518,0.040758201,0.082815264,0.121040929,0.047017969,0.082155669,0.062769571,0.101287458,0.111773755,0.068164462,0.060010323,0.068408281,0.118860029,0.048022282,0.085037751,0.108375164,0.054566978,0.070136461,0.11142147,0.096268061,0.026234057,0.043095106,0.019662397,0.076482956,0.033078384,0.060826315,0.024185205,0.024894878,0.033455301,0.091667706,0.030072314,0.120482302,0.003600193,0.049979296,0.086997221,0.144004957,0.116841595,0.114739232,0.102607464,0.036309276,0.100916226,0.016522919,0.053842114,0.067820148,0.171396019,0.073918646,0.140589676,0.04081531,0.072439624,0.118182867,0.025177831,0.137102868
G18,0.0,0.130112145,0.117108043,0.09002495,0.075125161,0.069201055,0.051955536,0.032757596,0.117820852,0.032933535,0.093156096,0.106386685,0.140400905,0.065692479,0.023971411,0.023971411,0.079969891,0.118704878,0.0,0.059514076,0.032506516,0.048322871,0.109058547,0.131681382,0.135181035,0.141715285,0.022080393,0.042294869,0.131637591,0.113054298,0.04815526,0.143452731,0.012503007,0.020389974,0.027156754,0.010952757,0.017142733,0.123118269,0.05779492,0.035413359,0.072386589,0.017662876,0.0902849,0.081935433,0.148460543,0.063938336,0.116154674,0.085123762,0.100599828,0.101228774,0.095760935,0.047846583,0.051464539,0.083673176,0.129095358,0.041547824,0.103998392,0.07730627,0.147558072,0.09511186,0.1076301,0.099636856,0.128520847,0.079637453,0.101784763,0.057634232,0.105471672,0.076812064,0.149928868,0.101136889,0.055072713,0.076975961,0.061485749,0.088590794,0.10250795,0.120859931,0.063920505,0.085581174,0.024761284,0.071822801,0.025221645,0.110235734,0.071968945,0.128396946,0.106014501,0.04852079,0.044454184,0.057362706,0.041255432,0.127309447,0.091658285,0.034640463,0.041920444,0.037087196,0.045997001,0.035347131,0.055255499,0.124047377,0.060203182,0.030870277,0.009581387,0.059454194
G19,0.0,0.060589745,0.083171615,0.073762385,0.117599353,0.051510754,0.052659119,0.052660946,0.100730263,0.059644456,0.097851281,0.103430577,0.125910034,0.129603593,0.064930132,0.064930132,0.106554681,0.089373794,0.059514076,0.0,0.152713472,0.018827412,0.089895737,0.059840757,0.134459639,0.090599284,0.037818999,0.024933065,0.077869907,0.046135323,0.013183382,0.087989761,0.004029609,0.044992608,0.072461117,0.013031863,0.029805298,0.016132337,0.103379464,0.079749572,0.05931019,0.033796175,0.037185131,0.072092095,0.126684704,0.034309221,0.068619805,0.027783863,0.075263165,0.149352873,0.07508818,0.03117088,0.049511195,0.052446701,0.08544741,0.018652897,0.094665969,0.093611369,0.10773091,0.144165627,0.103805857,0.095145934,0.063775783,0.152725331,0.109778399,0.026929862,0.065655977,0.113627367,0.096363703,0.056721251,0.00929066,0.06533207,0.031912431,0.058793439,0.036345216,0.061617536,0.042630325,0.013049487,0.054607195,0.069501715,0.055522294,0.127369354,0.024595051,0.127181805,0.044242036,0.064872204,0.050105579,0.054403663,0.071517245,0.017130408,0.065492024,0.016710222,0.034961705,0.035189612,0.134550306,0.121127051,0.01736977,0.048086396,0.05376034,0.03162449,0.037426585,0.024130591
G20,0.0,0.027333184,0.062101831,0.054503851,0.077333851,0.08290331,0.042673182,0.049230312,0.095745616,0.067722336,0.118254604,0.082370738,0.088241328,0.098434979,0.03732068,0.03732068,0.073655069,0.084305122,0.032506516,0.152713472,0.0,0.005412004,0.041134498,0.021539776,0.133530596,0.073042457,0.026689664,0.037601666,0.065763737,0.015180543,0.025721362,0.107331961,0.000515583,0.013794528,0.036179565,0.017710922,0.019772631,0.027627928,0.06972317,0.048954653,0.01935194,0.002408203,0.046462594,0.076680625,0.093526275,0.068921615,0.041277188,0.051843031,0.020721723,0.073246327,0.141454654,0.052291483,0.03711256,0.065596234,0.046535436,0.028697744,0.031829895,0.079877206,0.056080878,0.165116607,0.131711146,0.160658348,0.106356649,0.157685544,0.124478156,0.046953708,0.018095684,0.057378983,0.05135095,0.064794033,0.002632795,0.019138824,0.002095026,0.03067524,0.004540794,0.110187273,0.050288705,0.002095026,0.141711048,0.138981834,0.139742168,0.053142826,0.012343065,0.080204824,0.038010383,0.077116814,0.053665368,0.045980097,0.057278465,0.002632795,0.027312853,0.017256004,0.035025896,0.044700724,0.12845265,0.075184208,0.026068098,0.040376644,0.020039383,0.054446901,0.022238132,0.074600692
G21,0.0,0.02514939,0.002895394,0.036168531,0.016159609,0.0214366,-0.002316524,0.017101247,0.0225709,0.010199725,0.004939478,0.023666844,0.047650001,0.004305894,0.025564834,0.00212975,0.002907879,0.011360782,0.048322871,0.018827412,0.005412004,0.0,0.034318916,0.009950472,0.018769415,0.033752026,0.011550969,0.018784495,0.048746602,0.014321598,0.015441899,0.050310719,0.0010592,0.0241244,0.01973917,0.051378018,0.006517168,0.027105236,0.004573381,0.005366852,0.006609291,-0.002316524,0.009347818,0.024277698,0.01797308,0.018007576,0.000563161,0.014492753,0.015888024,0.016271455,0.045636163,0.0511669,0.023666548,0.024317606,0.017274008,0.043492219,0.054134573,0.028896956,0.038866717,0.019208485,0.016983986,0.025011167,0.048903456,0.008032525,0.035562768,0.028662336,0.016068751,0.013937066,0.012581038,0.018400597,0.005412004,0.027809727,0.004305894,0.013517971,0.009360736,0.011097083,0.023605756,0.004305894,0.002045858,0.039796476,0.003211897,0.025976803,0.006250228,0.08568581,0.011300545,0.024572096,0.032369427,0.062811206,0.0078656,0.06489711,0.027717403,0.01043765,0.031258516,0.010002936,0.021721904,0.042009148,0.078027356,0.061098529,0.029468897,0.036232247,0.060497792,0.105735066
