source,target,weight
G18,G371,0.684
G18,G3173,0.699
G19,G89,0.891
G23,G87,0.797
G23,G331,0.721
G23,G336,0.708
G23,G338,0.678
G23,G341,0.786
G23,G348,0.803
G23,G399,0.758
G23,G451,0.696
G23,G499,0.775
G23,G604,0.668
G23,G636,0.718
G23,G657,0.726
G23,G675,0.701
G23,G716,0.703
G23,G770,0.791
G23,G788,0.815
G23,G804,0.779
G23,G810,0.77
G23,G856,0.678
G23,G882,0.709
G23,G900,0.693
G23,G960,0.683
G23,G982,0.694
G23,G992,0.914
G23,G1004,0.692
G23,G1009,0.685
G23,G1023,0.81
G23,G1049,0.789
G23,G1099,0.674
G23,G1127,0.718
G23,G1138,0.729
G23,G1173,0.674
G23,G1199,0.708
G23,G1263,0.739
G23,G1301,0.701
G23,G1310,0.743
G23,G1315,0.778
G23,G1354,0.695
G23,G1373,0.677
G23,G1422,0.703
G23,G1439,0.669
G23,G1460,0.733
G23,G1465,0.765
G23,G1468,0.695
G23,G1481,0.681
G23,G1487,0.728
G23,G1500,0.718
G23,G1544,0.691
G23,G1546,0.744
G23,G1559,0.796
G23,G1560,0.75
G23,G1613,0.717
G23,G1621,0.731
G23,G1651,0.682
G23,G1714,0.673
G23,G1741,0.674
G23,G1749,0.76
G23,G1780,0.728
G23,G1784,0.738
G23,G1806,0.683
G23,G1861,0.676
G23,G1880,0.675
G23,G1914,0.708
G23,G2057,0.721
G23,G2063,0.743
G23,G2085,0.767
G23,G2086,0.737
G23,G2159,0.731
G23,G2161,0.801
G23,G2177,0.672
G23,G2241,0.69
G23,G2256,0.767
G23,G2259,0.781
G23,G2322,0.69
G23,G2390,0.667
G23,G2434,0.708
G23,G2452,0.725
G23,G2476,0.765
G23,G2485,0.669
G23,G2509,0.744
G23,G2579,0.771
G23,G2591,0.787
G23,G2771,0.694
G23,G2798,0.803
G23,G2828,0.689
G23,G2844,0.669
G23,G2853,0.732
G23,G2902,0.745
G23,G2927,0.668
G23,G2955,0.732
G23,G2975,0.757
G23,G2993,0.756
G23,G3009,0.671
G23,G3040,0.718
G23,G3136,0.798
G23,G3143,0.684
G23,G3193,0.726
G23,G3280,0.668
G23,G3300,0.714
G23,G3309,0.688
G23,G3322,0.723
G23,G3342,0.74
G23,G3414,0.701
G23,G3420,0.801
G23,G3456,0.714
G23,G3517,0.756
G23,G3565,0.719
G23,G3566,0.731
G23,G3571,0.768
G23,G3593,0.697
G23,G3594,0.801
G23,G3631,0.797
G23,G3677,0.757
G23,G3684,0.711
G23,G3690,0.667
G23,G3715,0.691
G23,G3718,0.738
G23,G3791,0.799
G23,G3830,0.69
G23,G3845,0.723
G23,G3860,0.717
G23,G3889,0.784
G23,G3945,0.688
G23,G3975,0.753
G23,G3981,0.682
G23,G4048,0.727
G23,G4088,0.714
G23,G4095,0.697
G23,G4103,0.68
G23,G4160,0.717
G23,G4165,0.742
G23,G4176,0.67
G23,G4183,0.704
G23,G4189,0.696
G23,G4190,0.687
G23,G4200,0.699
G23,G4219,0.677
G23,G4254,0.722
G23,G4272,0.739
G23,G4300,0.687
G23,G4301,0.672
G23,G4388,0.695
G23,G4406,0.714
G23,G4421,0.671
G23,G4475,0.714
G23,G4480,0.757
G23,G4486,0.715
G24,G177,0.729
G24,G286,0.746
G24,G406,0.714
G24,G412,0.706
G24,G416,0.671
G24,G453,0.708
G24,G526,0.742
G24,G544,0.668
G24,G622,0.667
G24,G644,0.679
G24,G654,0.739
G24,G698,0.689
G24,G730,0.71
G24,G758,0.706
G24,G772,0.703
G24,G791,0.697
G24,G865,0.703
G24,G885,0.721
G24,G906,0.673
G24,G921,0.723
G24,G997,0.762
G24,G1113,0.806
G24,G1140,0.695
G24,G1279,0.676
G24,G1281,0.673
G24,G1282,0.691
G24,G1291,0.693
G24,G1306,0.766
G24,G1312,0.716
G24,G1340,0.69
G24,G1395,0.682
G24,G1458,0.703
G24,G1485,0.678
G24,G1533,0.678
G24,G1537,0.766
G24,G1540,0.681
G24,G1581,0.755
G24,G1582,0.723
G24,G1623,0.751
G24,G1624,0.683
G24,G1712,0.71
G24,G1764,0.697
G24,G1811,0.738
G24,G1812,0.744
G24,G1813,0.738
G24,G1829,0.673
G24,G1838,0.715
G24,G1845,0.68
G24,G1862,0.689
G24,G1864,0.743
G24,G1888,0.67
G24,G1902,0.695
G24,G1935,0.713
G24,G1958,0.761
G24,G1993,0.685
G24,G2017,0.671
G24,G2049,0.732
G24,G2124,0.731
G24,G2162,0.724
G24,G2168,0.697
G24,G2171,0.748
G24,G2186,0.694
G24,G2192,0.69
G24,G2209,0.743
G24,G2394,0.716
G24,G2405,0.788
G24,G2428,0.711
G24,G2593,0.711
G24,G2599,0.723
G24,G2600,0.704
G24,G2702,0.759
G24,G2714,0.672
G24,G2796,0.713
G24,G2827,0.721
G24,G2838,0.706
G24,G2925,0.751
G24,G2932,0.714
G24,G2935,0.7
G24,G3014,0.757
G24,G3016,0.687
G24,G3049,0.672
G24,G3068,0.708
G24,G3075,0.667
G24,G3100,0.674
G24,G3103,0.708
G24,G3107,0.776
G24,G3113,0.681
G24,G3150,0.67
G24,G3190,0.746
G24,G3211,0.718
G24,G3246,0.706
G24,G3312,0.702
G24,G3318,0.695
G24,G3346,0.699
G24,G3389,0.667
G24,G3395,0.681
G24,G3473,0.756
G24,G3475,0.766
G24,G3501,0.676
G24,G3553,0.718
G24,G3609,0.697
G24,G3705,0.712
G24,G3763,0.698
G24,G3805,0.692
G24,G3812,0.691
G24,G3846,0.678
G24,G3886,0.763
G24,G3934,0.691
G24,G3954,0.734
G24,G3969,0.685
G24,G3993,0.725
G24,G4031,0.738
G24,G4104,0.673
G24,G4122,0.669
G24,G4205,0.77
G24,G4298,0.696
G24,G4319,0.79
G24,G4321,0.735
G24,G4353,0.747
G24,G4359,0.686
G24,G4371,0.721
G24,G4378,0.707
G24,G4401,0.716
G24,G4433,0.694
G24,G4440,0.742
G24,G4460,0.684
G24,G4471,0.682
G26,G213,0.69
G26,G830,0.681
G26,G1608,0.67
G26,G3588,0.712
G27,G1781,0.839
G29,G1227,0.706
G29,G1978,0.698
G29,G1986,0.673
G29,G2022,0.677
G29,G2200,0.745
G29,G2463,0.713
G29,G2577,0.668
G29,G2633,0.672
G29,G2911,0.727
G29,G2939,0.677
G29,G3250,0.719
G29,G3495,0.739
G29,G3552,0.705
G29,G3625,0.673
G29,G4075,0.684
G29,G4163,0.816
G29,G4204,0.679
G31,G102,0.713
G31,G523,0.681
G31,G1368,0.678
G31,G2478,0.734
G31,G3206,0.683
G35,G758,0.675
G35,G1249,0.676
G35,G1533,0.7
G35,G1582,0.703
G35,G1811,0.668
G35,G2454,0.685
G35,G2702,0.713
G35,G3068,0.708
G35,G3107,0.694
G35,G3473,0.669
G35,G4031,0.672
G35,G4319,0.679
G35,G4321,0.718
G35,G4412,0.745
G35,G4433,0.673
G36,G327,0.731
G36,G4345,0.702
G37,G156,0.806
G37,G158,0.68
G37,G177,0.72
G37,G231,0.772
G37,G236,0.708
G37,G292,0.682
G37,G301,0.744
G37,G392,0.782
G37,G393,0.679
G37,G406,0.729
G37,G424,0.813
G37,G520,0.818
G37,G526,0.706
G37,G527,0.682
G37,G567,0.667
G37,G590,0.69
G37,G641,0.771
G37,G682,0.673
G37,G758,0.77
G37,G772,0.805
G37,G794,0.689
G37,G833,0.747
G37,G834,0.733
G37,G885,0.727
G37,G906,0.772
G37,G924,0.707
G37,G928,0.795
G37,G983,0.708
G37,G987,0.667
G37,G1013,0.672
G37,G1071,0.714
G37,G1281,0.812
G37,G1321,0.696
G37,G1352,0.781
G37,G1355,0.697
G37,G1360,0.752
G37,G1371,0.786
G37,G1395,0.741
G37,G1417,0.699
G37,G1533,0.671
G37,G1537,0.687
G37,G1540,0.69
G37,G1581,0.682
G37,G1582,0.747
G37,G1623,0.7
G37,G1727,0.702
G37,G1734,0.697
G37,G1813,0.782
G37,G1838,0.748
G37,G1888,0.828
G37,G1902,0.789
G37,G1909,0.678
G37,G1944,0.703
G37,G1987,0.678
G37,G2005,0.727
G37,G2049,0.72
G37,G2102,0.684
G37,G2124,0.667
G37,G2131,0.687
G37,G2132,0.772
G37,G2153,0.703
G37,G2162,0.737
G37,G2186,0.691
G37,G2192,0.681
G37,G2198,0.729
G37,G2240,0.702
G37,G2251,0.729
G37,G2389,0.68
G37,G2405,0.782
G37,G2425,0.673
G37,G2428,0.789
G37,G2593,0.76
G37,G2621,0.683
G37,G2635,0.727
G37,G2640,0.739
G37,G2702,0.711
G37,G2720,0.743
G37,G2742,0.67
G37,G2815,0.763
G37,G2827,0.686
G37,G2843,0.711
G37,G2868,0.673
G37,G2925,0.742
G37,G2932,0.712
G37,G2992,0.792
G37,G2998,0.7
G37,G3016,0.788
G37,G3100,0.739
G37,G3107,0.76
G37,G3182,0.685
G37,G3211,0.781
G37,G3220,0.721
G37,G3264,0.691
G37,G3301,0.676
G37,G3347,0.69
G37,G3389,0.757
G37,G3410,0.696
G37,G3464,0.702
G37,G3465,0.771
G37,G3473,0.727
G37,G3500,0.717
G37,G3544,0.791
G37,G3545,0.74
G37,G3669,0.811
G37,G3717,0.697
G37,G3722,0.757
G37,G3782,0.703
G37,G3846,0.684
G37,G3897,0.702
G37,G3934,0.733
G37,G3969,0.689
G37,G4004,0.679
G37,G4030,0.806
G37,G4031,0.816
G37,G4038,0.691
G37,G4108,0.69
G37,G4294,0.721
G37,G4319,0.76
G37,G4321,0.788
G37,G4359,0.743
G37,G4371,0.673
G37,G4412,0.668
G37,G4433,0.705
G37,G4469,0.703
G37,G4482,0.714
G38,G570,0.681
G39,G751,0.748
G39,G1159,0.682
G39,G1347,0.685
G39,G1820,0.673
G39,G2415,0.673
G39,G2846,0.675
G39,G4037,0.732
G39,G4247,0.691
G40,G2136,0.673
G42,G1095,0.682
G43,G1821,0.677
G43,G2389,0.689
G43,G2419,0.69
G43,G2742,0.675
G45,G712,0.697
G45,G899,0.814
G45,G2294,0.702
G45,G2687,0.668
G45,G2700,0.702
G45,G2883,0.682
G45,G4370,0.68
G46,G406,0.705
G46,G1537,0.699
G46,G1935,0.689
G46,G2496,0.668
G46,G3049,0.69
G46,G4319,0.669
G48,G104,0.721
G48,G936,0.763
G48,G2897,0.68
G54,G1313,0.748
G54,G3190,0.679
G54,G4179,0.671
G55,G423,0.705
G55,G4075,0.743
G56,G106,0.668
G56,G136,0.677
G56,G516,0.73
G56,G553,0.744
G56,G742,0.735
G56,G751,0.678
G56,G909,0.747
G56,G1022,0.673
G56,G1163,0.691
G56,G1311,0.709
G56,G1676,0.691
G56,G1817,0.703
G56,G1820,0.691
G56,G1853,0.687
G56,G2223,0.667
G56,G2230,0.72
G56,G2415,0.735
G56,G2425,0.679
G56,G2569,0.724
G56,G3041,0.675
G56,G3127,0.673
G56,G3405,0.679
G56,G3694,0.742
G56,G3706,0.701
G56,G3774,0.807
G56,G3923,0.694
G56,G4004,0.686
G56,G4247,0.676
G56,G4333,0.728
G60,G443,0.752
G66,G1905,0.682
G67,G647,0.822
G67,G689,0.773
G67,G2614,0.745
G69,G4080,0.697
G72,G2908,0.716
G73,G4027,0.707
G73,G4056,0.671
G75,G800,0.739
G75,G837,0.697
G75,G1575,0.699
G75,G2935,0.715
G75,G3041,0.668
G75,G4004,0.67
G76,G1751,0.671
G77,G306,0.901
G77,G1525,0.873
G77,G2120,0.8
G77,G3971,0.93
G77,G4067,0.692
G78,G3598,0.903
G78,G4417,0.735
G79,G2779,0.908
G79,G3192,0.746
G79,G4277,0.716
G82,G2149,0.677
G87,G183,0.7
G87,G278,0.671
G87,G291,0.803
G87,G325,0.676
G87,G336,0.752
G87,G338,0.691
G87,G341,0.741
G87,G348,0.699
G87,G384,0.792
G87,G387,0.672
G87,G399,0.804
G87,G405,0.707
G87,G407,0.751
G87,G451,0.705
G87,G489,0.693
G87,G499,0.828
G87,G500,0.732
G87,G513,0.736
G87,G522,0.808
G87,G550,0.776
G87,G575,0.743
G87,G585,0.68
G87,G598,0.734
G87,G611,0.743
G87,G635,0.713
G87,G636,0.746
G87,G657,0.787
G87,G675,0.727
G87,G724,0.671
G87,G731,0.67
G87,G770,0.776
G87,G788,0.817
G87,G804,0.884
G87,G810,0.818
G87,G826,0.711
G87,G828,0.699
G87,G856,0.694
G87,G882,0.822
G87,G883,0.689
G87,G900,0.79
G87,G918,0.671
G87,G943,0.74
G87,G960,0.752
G87,G979,0.754
G87,G982,0.768
G87,G992,0.84
G87,G1004,0.842
G87,G1009,0.851
G87,G1023,0.77
G87,G1049,0.792
G87,G1050,0.669
G87,G1065,0.766
G87,G1092,0.673
G87,G1099,0.682
G87,G1127,0.744
G87,G1138,0.806
G87,G1143,0.746
G87,G1147,0.668
G87,G1154,0.693
G87,G1164,0.669
G87,G1173,0.741
G87,G1184,0.805
G87,G1227,0.698
G87,G1234,0.796
G87,G1260,0.704
G87,G1263,0.781
G87,G1265,0.713
G87,G1297,0.764
G87,G1301,0.699
G87,G1310,0.837
G87,G1315,0.714
G87,G1318,0.672
G87,G1354,0.743
G87,G1373,0.717
G87,G1378,0.677
G87,G1392,0.67
G87,G1421,0.725
G87,G1422,0.703
G87,G1443,0.697
G87,G1445,0.707
G87,G1460,0.852
G87,G1465,0.709
G87,G1468,0.752
G87,G1481,0.72
G87,G1487,0.861
G87,G1491,0.685
G87,G1500,0.727
G87,G1544,0.791
G87,G1546,0.852
G87,G1559,0.779
G87,G1560,0.771
G87,G1621,0.804
G87,G1651,0.733
G87,G1654,0.776
G87,G1668,0.742
G87,G1692,0.692
G87,G1698,0.705
G87,G1741,0.727
G87,G1749,0.824
G87,G1770,0.799
G87,G1773,0.714
G87,G1780,0.849
G87,G1784,0.806
G87,G1806,0.688
G87,G1809,0.735
G87,G1816,0.672
G87,G1822,0.713
G87,G1914,0.7
G87,G1934,0.762
G87,G2057,0.742
G87,G2063,0.806
G87,G2077,0.822
G87,G2082,0.778
G87,G2085,0.751
G87,G2086,0.879
G87,G2159,0.726
G87,G2161,0.725
G87,G2177,0.712
G87,G2208,0.672
G87,G2213,0.695
G87,G2226,0.745
G87,G2247,0.713
G87,G2248,0.721
G87,G2256,0.881
G87,G2259,0.913
G87,G2285,0.675
G87,G2329,0.841
G87,G2344,0.831
G87,G2360,0.678
G87,G2364,0.734
G87,G2390,0.814
G87,G2401,0.778
G87,G2402,0.756
G87,G2416,0.811
G87,G2418,0.82
G87,G2434,0.722
G87,G2452,0.895
G87,G2476,0.811
G87,G2495,0.75
G87,G2509,0.804
G87,G2544,0.738
G87,G2579,0.85
G87,G2591,0.855
G87,G2616,0.733
G87,G2643,0.681
G87,G2648,0.754
G87,G2653,0.81
G87,G2675,0.771
G87,G2683,0.821
G87,G2726,0.711
G87,G2771,0.862
G87,G2797,0.669
G87,G2798,0.815
G87,G2811,0.729
G87,G2828,0.743
G87,G2844,0.73
G87,G2850,0.721
G87,G2853,0.827
G87,G2890,0.68
G87,G2902,0.86
G87,G2904,0.679
G87,G2927,0.783
G87,G2938,0.703
G87,G2955,0.76
G87,G2975,0.813
G87,G2982,0.713
G87,G2993,0.814
G87,G3009,0.695
G87,G3020,0.683
G87,G3040,0.733
G87,G3102,0.673
G87,G3111,0.668
G87,G3136,0.751
G87,G3152,0.756
G87,G3178,0.748
G87,G3193,0.81
G87,G3215,0.726
G87,G3219,0.767
G87,G3247,0.808
G87,G3280,0.785
G87,G3285,0.672
G87,G3300,0.869
G87,G3309,0.752
G87,G3322,0.673
G87,G3342,0.75
G87,G3381,0.748
G87,G3420,0.85
G87,G3424,0.719
G87,G3436,0.681
G87,G3456,0.775
G87,G3485,0.674
G87,G3495,0.668
G87,G3517,0.807
G87,G3535,0.703
G87,G3543,0.67
G87,G3549,0.734
G87,G3558,0.687
G87,G3565,0.816
G87,G3566,0.754
G87,G3571,0.737
G87,G3593,0.672
G87,G3594,0.855
G87,G3631,0.786
G87,G3634,0.667
G87,G3663,0.749
G87,G3664,0.724
G87,G3670,0.805
G87,G3677,0.796
G87,G3682,0.693
G87,G3690,0.763
G87,G3715,0.834
G87,G3718,0.804
G87,G3720,0.82
G87,G3721,0.685
G87,G3724,0.69
G87,G3762,0.75
G87,G3791,0.81
G87,G3802,0.732
G87,G3818,0.686
G87,G3826,0.755
G87,G3830,0.748
G87,G3845,0.767
G87,G3860,0.687
G87,G3869,0.737
G87,G3889,0.83
G87,G3901,0.678
G87,G3909,0.745
G87,G3911,0.676
G87,G3945,0.802
G87,G3947,0.69
G87,G3975,0.699
G87,G3981,0.711
G87,G4007,0.719
G87,G4026,0.674
G87,G4033,0.709
G87,G4048,0.74
G87,G4077,0.713
G87,G4088,0.716
G87,G4092,0.717
G87,G4095,0.811
G87,G4103,0.809
G87,G4160,0.885
G87,G4163,0.703
G87,G4165,0.779
G87,G4176,0.766
G87,G4183,0.785
G87,G4189,0.785
G87,G4190,0.733
G87,G4200,0.686
G87,G4219,0.727
G87,G4223,0.771
G87,G4234,0.678
G87,G4254,0.78
G87,G4265,0.74
G87,G4272,0.789
G87,G4295,0.805
G87,G4300,0.671
G87,G4301,0.674
G87,G4314,0.791
G87,G4322,0.674
G87,G4324,0.692
G87,G4388,0.75
G87,G4406,0.822
G87,G4407,0.693
G87,G4421,0.817
G87,G4467,0.693
G87,G4473,0.736
G87,G4475,0.867
G87,G4480,0.708
G87,G4486,0.757
G90,G416,0.689
G90,G654,0.736
G90,G1140,0.705
G90,G1343,0.696
G90,G1402,0.678
G90,G1503,0.687
G90,G1781,0.689
G90,G1862,0.701
G90,G1958,0.684
G90,G1983,0.687
G90,G2209,0.712
G90,G2792,0.693
G90,G2866,0.674
G90,G3075,0.7
G90,G3113,0.733
G90,G3213,0.7
G90,G3246,0.707
G90,G3318,0.714
G90,G3659,0.69
G90,G3824,0.691
G90,G3886,0.735
G90,G3968,0.679
G90,G4067,0.696
G90,G4340,0.682
G91,G2152,0.679
G93,G154,0.787
G93,G155,0.678
G93,G318,0.795
G93,G337,0.818
G93,G410,0.807
G93,G501,0.726
G93,G743,0.771
G93,G791,0.675
G93,G896,0.676
G93,G1044,0.713
G93,G1054,0.705
G93,G1095,0.693
G93,G1116,0.702
G93,G1140,0.727
G93,G1172,0.864
G93,G1185,0.767
G93,G1193,0.699
G93,G1201,0.769
G93,G1291,0.76
G93,G1343,0.792
G93,G1391,0.747
G93,G1405,0.67
G93,G1412,0.691
G93,G1446,0.761
G93,G1458,0.761
G93,G1503,0.831
G93,G1585,0.737
G93,G1619,0.899
G93,G1764,0.819
G93,G1787,0.707
G93,G1851,0.668
G93,G1884,0.808
G93,G1927,0.835
G93,G1951,0.808
G93,G1952,0.844
G93,G1966,0.668
G93,G1983,0.802
G93,G2053,0.85
G93,G2168,0.749
G93,G2178,0.787
G93,G2219,0.725
G93,G2289,0.76
G93,G2314,0.683
G93,G2315,0.781
G93,G2339,0.799
G93,G2359,0.697
G93,G2394,0.686
G93,G2409,0.791
G93,G2482,0.848
G93,G2554,0.673
G93,G2557,0.772
G93,G2607,0.744
G93,G2611,0.754
G93,G2622,0.751
G93,G2624,0.709
G93,G2673,0.699
G93,G2689,0.827
G93,G2704,0.723
G93,G2740,0.736
G93,G2752,0.795
G93,G2783,0.702
G93,G2866,0.778
G93,G2929,0.673
G93,G2956,0.786
G93,G2996,0.815
G93,G3014,0.679
G93,G3032,0.684
G93,G3054,0.707
G93,G3072,0.672
G93,G3075,0.691
G93,G3118,0.748
G93,G3150,0.81
G93,G3162,0.686
G93,G3165,0.744
G93,G3254,0.715
G93,G3274,0.744
G93,G3291,0.791
G93,G3318,0.766
G93,G3329,0.674
G93,G3346,0.735
G93,G3366,0.75
G93,G3377,0.832
G93,G3440,0.693
G93,G3475,0.726
G93,G3482,0.845
G93,G3507,0.842
G93,G3553,0.706
G93,G3603,0.727
G93,G3754,0.833
G93,G3765,0.773
G93,G3824,0.789
G93,G3867,0.822
G93,G3906,0.688
G93,G3954,0.683
G93,G4201,0.743
G93,G4215,0.723
G93,G4224,0.83
G93,G4240,0.734
G93,G4269,0.856
G93,G4271,0.704
G93,G4313,0.697
G93,G4340,0.69
G93,G4378,0.686
G93,G4381,0.805
G93,G4402,0.733
G93,G4416,0.75
G93,G4440,0.773
G93,G4489,0.878
G93,G4496,0.827
G94,G310,0.672
G94,G491,0.69
G94,G2882,0.678
G94,G3214,0.669
G94,G3660,0.705
G95,G539,0.759
G95,G2724,0.72
G95,G3415,0.728
G95,G3681,0.758
G95,G4335,0.741
G97,G1537,0.682
G97,G1813,0.701
G97,G2153,0.676
G97,G2220,0.692
G97,G3500,0.703
G97,G3907,0.672
G97,G4001,0.701
G97,G4370,0.685
G99,G165,0.716
G99,G236,0.668
G99,G321,0.689
G99,G563,0.67
G99,G834,0.689
G99,G906,0.685
G99,G924,0.757
G99,G1131,0.676
G99,G1281,0.741
G99,G1352,0.688
G99,G1371,0.718
G99,G1473,0.669
G99,G1680,0.667
G99,G1734,0.716
G99,G1813,0.723
G99,G2153,0.694
G99,G2251,0.687
G99,G2389,0.687
G99,G2405,0.684
G99,G2635,0.711
G99,G2742,0.669
G99,G2815,0.707
G99,G2940,0.674
G99,G3211,0.688
G99,G3389,0.696
G99,G3465,0.69
G99,G3490,0.692
G99,G3500,0.67
G99,G3544,0.681
G99,G3545,0.669
G99,G3722,0.766
G99,G3782,0.758
G99,G3907,0.733
G99,G3934,0.679
G99,G4111,0.683
G99,G4137,0.716
G99,G4216,0.704
G99,G4482,0.673
G100,G217,0.689
G100,G231,0.669
G100,G627,0.72
G100,G751,0.691
G100,G772,0.691
G100,G926,0.677
G100,G928,0.705
G100,G983,0.7
G100,G1355,0.693
G100,G2005,0.689
G100,G2186,0.711
G100,G2415,0.674
G100,G2842,0.685
G100,G3148,0.725
G100,G4004,0.701
G100,G4433,0.686
G100,G4468,0.667
G101,G119,0.774
G101,G2868,0.674
G101,G3222,0.671
G101,G3347,0.673
G101,G3486,0.7
G102,G3783,0.728
G104,G936,0.76
G104,G1157,0.675
G104,G2072,0.714
G104,G3195,0.671
G105,G106,0.765
G105,G516,0.669
G105,G563,0.698
G105,G747,0.67
G105,G1073,0.834
G105,G1163,0.673
G105,G1821,0.766
G105,G1868,0.756
G105,G2230,0.712
G105,G2389,0.701
G105,G2415,0.696
G105,G2867,0.702
G105,G3067,0.683
G105,G3231,0.721
G105,G4210,0.672
G106,G231,0.707
G106,G236,0.838
G106,G286,0.71
G106,G301,0.725
G106,G372,0.704
G106,G412,0.766
G106,G437,0.689
G106,G473,0.698
G106,G516,0.805
G106,G520,0.711
G106,G526,0.677
G106,G553,0.775
G106,G563,0.814
G106,G586,0.776
G106,G620,0.706
G106,G652,0.732
G106,G654,0.709
G106,G739,0.72
G106,G747,0.692
G106,G751,0.701
G106,G758,0.813
G106,G772,0.745
G106,G794,0.729
G106,G825,0.699
G106,G843,0.784
G106,G906,0.676
G106,G921,0.785
G106,G924,0.71
G106,G928,0.701
G106,G983,0.714
G106,G987,0.669
G106,G1022,0.736
G106,G1073,0.786
G106,G1131,0.783
G106,G1163,0.85
G106,G1221,0.727
G106,G1273,0.721
G106,G1281,0.771
G106,G1311,0.699
G106,G1312,0.724
G106,G1317,0.756
G106,G1321,0.805
G106,G1340,0.677
G106,G1352,0.728
G106,G1355,0.77
G106,G1371,0.77
G106,G1379,0.684
G106,G1395,0.731
G106,G1441,0.731
G106,G1502,0.736
G106,G1526,0.694
G106,G1537,0.713
G106,G1540,0.826
G106,G1581,0.726
G106,G1582,0.702
G106,G1587,0.709
G106,G1623,0.767
G106,G1624,0.785
G106,G1676,0.751
G106,G1679,0.67
G106,G1695,0.672
G106,G1712,0.8
G106,G1715,0.714
G106,G1811,0.69
G106,G1813,0.81
G106,G1817,0.726
G106,G1820,0.79
G106,G1821,0.887
G106,G1838,0.765
G106,G1845,0.688
G106,G1853,0.671
G106,G1864,0.725
G106,G1868,0.817
G106,G1920,0.798
G106,G1935,0.719
G106,G1945,0.775
G106,G1958,0.777
G106,G1987,0.766
G106,G1988,0.747
G106,G1996,0.688
G106,G2005,0.749
